image_id,object_count
0000271_07401_d_0000409,42
0000327_04001_d_0000731,137
0000333_03529_d_0000019,96
0000364_01177_d_0000799,84
0000360_06273_d_0000745,22
0000335_03921_d_0000063,44
0000154_02001_d_0000001,101
0000312_00601_d_0000417,59
0000289_00401_d_0000813,53
0000289_06801_d_0000845,100
0000359_03529_d_0000712,16
0000215_02932_d_0000263,50
0000316_00801_d_0000523,37
0000153_00801_d_0000001,59
0000249_02468_d_0000008,19
0000330_04001_d_0000820,39
0000327_01001_d_0000716,83
0000154_01201_d_0000001,91
0000271_00401_d_0000376,25
0000271_02401_d_0000385,92
0000026_04000_d_0000032,14
0000086_00000_d_0000001,37
0000242_04600_d_0000014,30
0000249_00235_d_0000002,86
0000117_00112_d_0000087,131
0000193_02212_d_0000115,82
0000330_02001_d_0000810,59
0000316_01201_d_0000525,47
0000312_04201_d_0000435,81
0000276_02801_d_0000521,41
0000330_02801_d_0000814,45
0000276_03401_d_0000524,66
0000290_04001_d_0000867,79
0000289_05801_d_0000840,78
0000295_02000_d_0000031,341
0000335_04117_d_0000064,28
0000021_00500_d_0000002,17
0000242_00627_d_0000003,54
0000023_00300_d_0000009,30
0000103_03349_d_0000031,4
0000069_02480_d_0000007,65
0000289_05001_d_0000836,71
0000023_01233_d_0000011,14
0000291_03801_d_0000887,191
0000300_03201_d_0000154,68
0000315_01601_d_0000509,104
0000356_01961_d_0000639,111
0000360_04117_d_0000734,18
0000249_03900_d_0000011,94
0000291_00001_d_0000868,182
0000327_04201_d_0000732,111
0000287_01201_d_0000765,70
0000023_00868_d_0000010,20
0000086_01443_d_0000004,112
0000193_00000_d_0000103,71
0000327_01801_d_0000720,62
0000335_03333_d_0000060,40
0000117_03096_d_0000091,28
0000276_04801_d_0000531,10
0000276_05801_d_0000536,7
0000289_03201_d_0000827,82
0000271_03801_d_0000391,57
0000244_00001_d_0000001,51
0000312_01201_d_0000420,82
0000327_00401_d_0000713,70
0000291_01401_d_0000875,157
0000356_03725_d_0000648,104
0000242_00843_d_0000004,2
0000215_00909_d_0000258,93
0000276_04401_d_0000529,40
0000276_05601_d_0000535,10
0000271_05201_d_0000398,71
0000276_06001_d_0000537,14
0000356_03529_d_0000647,87
0000301_01001_d_0000161,66
0000103_04122_d_0000033,4
0000026_00000_d_0000024,8
0000295_00200_d_0000022,83
0000271_00001_d_0000374,58
0000115_00796_d_0000081,88
0000271_05801_d_0000401,106
0000244_05900_d_0000013,69
0000301_00001_d_0000156,103
0000360_02353_d_0000725,77
0000346_07057_d_0000382,87
0000155_00801_d_0000001,111
0000249_02073_d_0000007,71
0000024_00500_d_0000013,10
0000249_01100_d_0000004,32
0000333_02745_d_0000015,52
0000069_02163_d_0000006,49
0000086_01084_d_0000003,149
0000249_00001_d_0000001,81
0000220_01242_d_0000004,39
0000223_01802_d_0000005,65
0000277_03401_d_0000555,107
0000213_03920_d_0000243,169
0000271_06201_d_0000403,142
0000301_00201_d_0000157,91
0000345_07057_d_0000345,108
0000086_01954_d_0000005,175
0000277_05001_d_0000562,98
0000291_04401_d_0000890,127
0000244_04400_d_0000010,102
0000360_03529_d_0000731,31
0000199_01269_d_0000166,18
0000356_01177_d_0000635,98
0000256_00715_d_0000019,100
0000244_05400_d_0000012,94
