image_id,object_count
0000312_01001_d_0000419,81
0000194_00800_d_0000123,56
0000249_01514_d_0000005,54
0000346_01961_d_0000356,72
0000213_02500_d_0000240,101
0000287_02401_d_0000771,18
0000348_03333_d_0000423,15
0000364_01373_d_0000780,74
0000116_00819_d_0000084,43
0000103_04948_d_0000035,1
0000335_06469_d_0000076,8
0000116_01059_d_0000085,72
0000280_01601_d_0000620,104
0000295_00800_d_0000025,153
0000287_01001_d_0000764,71
0000316_00001_d_0000519,73
0000360_05293_d_0000740,70
0000244_06388_d_0000014,55
0000276_01401_d_0000514,25
0000271_01401_d_0000380,55
0000276_00601_d_0000510,39
0000293_03601_d_0000940,119
0000356_04313_d_0000651,104
0000335_00197_d_0000044,37
0000026_04500_d_0000033,47
0000213_04405_d_0000244,112
0000287_02001_d_0000769,45
0000358_03333_d_0000697,99
0000335_06665_d_0000077,21
0000213_04998_d_0000245,140
0000283_01001_d_0000679,5
0000289_06001_d_0000841,80
0000001_08414_d_0000013,164
0000296_00601_d_0000038,92
0000069_01109_d_0000004,31
0000289_00601_d_0000814,43
0000244_03500_d_0000008,147
0000193_02725_d_0000118,42
0000333_02941_d_0000016,44
0000327_02801_d_0000725,73
0000022_00500_d_0000005,32
0000213_03478_d_0000242,118
0000289_04801_d_0000835,71
0000242_02400_d_0000009,34
0000289_02401_d_0000823,52
0000312_00201_d_0000415,108
0000273_05601_d_0000466,34
0000291_02001_d_0000878,175
0000327_02601_d_0000724,57
0000244_02500_d_0000006,115
0000327_01201_d_0000717,70
0000280_00001_d_0000612,88
0000153_00001_d_0000001,58
0000271_06601_d_0000405,108
0000327_00001_d_0000711,70
0000316_00601_d_0000522,39
0000194_00399_d_0000121,145
0000117_01731_d_0000089,48
0000280_02801_d_0000626,56
0000360_02941_d_0000728,45
0000323_02601_d_0000645,94
0000342_00393_d_0000244,141
0000289_05201_d_0000837,81
0000287_03401_d_0000776,56
0000022_01036_d_0000006,16
0000280_02001_d_0000622,68
0000271_01201_d_0000379,60
0000276_03801_d_0000526,65
0000289_00801_d_0000815,39
0000335_02549_d_0000056,91
0000295_02200_d_0000032,204
0000291_05001_d_0000892,137
0000163_00001_d_0000001,72
0000069_00483_d_0000002,27
0000291_00601_d_0000871,124
0000330_01201_d_0000806,118
0000277_01601_d_0000547,84
0000312_02201_d_0000425,78
0000277_02201_d_0000550,69
0000024_01543_d_0000015,8
0000276_02001_d_0000517,17
0000301_01201_d_0000162,66
0000271_03001_d_0000387,56
0000289_06401_d_0000843,81
0000356_04705_d_0000653,77
0000155_00401_d_0000001,136
0000242_05570_d_0000016,35
0000283_00801_d_0000678,8
0000287_00401_d_0000761,55
0000289_00201_d_0000812,46
0000356_03921_d_0000649,77
0000287_03001_d_0000774,18
0000291_04001_d_0000888,112
0000360_00393_d_0000715,79
0000153_01601_d_0000001,67
0000356_02941_d_0000644,114
0000026_03500_d_0000031,23
0000280_02601_d_0000625,82
0000295_01400_d_0000028,216
0000242_03668_d_0000012,44
0000103_01734_d_0000028,4
0000364_01765_d_0000782,86
0000289_06201_d_0000842,79
0000327_03201_d_0000727,113
0000289_02001_d_0000821,43
0000276_00401_d_0000509,62
0000335_03725_d_0000062,27
0000289_03601_d_0000829,77
0000269_00001_d_0000348,132
0000276_05001_d_0000532,7
