image_id,object_count
0000313_06601_d_0000469,174
0000280_01201_d_0000618,135
0000360_02745_d_0000727,82
0000316_02201_d_0000530,7
0000244_04000_d_0000009,62
0000360_00981_d_0000718,68
0000330_00801_d_0000804,94
0000244_02000_d_0000005,131
0000242_01139_d_0000006,77
0000276_00001_d_0000507,55
0000271_04401_d_0000394,86
0000276_04601_d_0000530,10
0000024_00000_d_0000012,21
0000001_05999_d_0000011,120
0000316_01601_d_0000527,29
0000316_02001_d_0000529,9
0000076_02142_d_0000009,11
0000026_04978_d_0000034,46
0000335_02353_d_0000055,84
0000327_03401_d_0000728,79
0000333_01961_d_0000011,65
0000276_03201_d_0000523,62
0000215_02319_d_0000261,113
0000081_00000_d_0000001,93
0000295_02400_d_0000033,330
0000244_01500_d_0000004,100
0000287_01601_d_0000767,77
0000277_04201_d_0000559,68
0000026_01000_d_0000026,25
0000287_00001_d_0000759,55
0000289_01601_d_0000819,44
0000360_03333_d_0000730,56
0000330_02201_d_0000811,44
0000117_01326_d_0000088,69
0000026_00500_d_0000025,15
0000215_00447_d_0000257,55
0000162_00801_d_0000001,40
0000280_01001_d_0000617,128
0000276_02201_d_0000518,43
0000244_04900_d_0000011,108
0000277_00201_d_0000540,87
0000163_00359_d_0000001,56
0000249_02900_d_0000009,103
0000287_05001_d_0000782,62
0000360_03921_d_0000733,52
0000086_00592_d_0000002,65
0000295_02900_d_0000034,214
0000289_03801_d_0000830,102
0000313_07001_d_0000471,5
0000308_04401_d_0000327,104
0000333_02353_d_0000013,72
0000277_03201_d_0000554,85
0000335_01961_d_0000053,69
0000115_01031_d_0000082,68
0000276_01001_d_0000512,44
0000327_00601_d_0000714,85
0000356_05097_d_0000655,121
0000360_00589_d_0000716,60
0000360_06665_d_0000747,48
0000287_02201_d_0000770,31
0000242_06010_d_0000017,44
0000280_02401_d_0000624,94
0000271_07201_d_0000408,25
0000289_04601_d_0000834,98
0000287_02601_d_0000772,44
0000289_05601_d_0000839,107
0000242_06452_d_0000018,12
0000333_02549_d_0000014,92
0000335_00981_d_0000048,79
0000280_00401_d_0000614,61
0000055_00714_d_0000110,87
0000193_01876_d_0000113,109
0000280_00201_d_0000613,47
0000289_01201_d_0000817,44
0000069_01878_d_0000005,36
0000330_00401_d_0000802,117
0000359_00589_d_0000702,40
0000316_01401_d_0000526,34
0000271_05601_d_0000400,86
0000359_01373_d_0000706,12
0000335_00785_d_0000047,34
0000335_03137_d_0000059,104
0000154_00001_d_0000001,59
0000276_03601_d_0000525,48
0000129_02411_d_0000138,190
0000280_00601_d_0000615,80
0000327_03001_d_0000726,78
0000280_03001_d_0000627,91
0000335_06861_d_0000078,24
0000117_02708_d_0000090,103
0000359_03333_d_0000711,14
0000154_00401_d_0000001,62
0000364_01569_d_0000781,106
0000249_01635_d_0000006,84
0000289_01401_d_0000818,39
0000283_00401_d_0000676,7
0000287_00801_d_0000763,58
0000364_00589_d_0000798,66
0000103_03738_d_0000032,3
0000213_02965_d_0000241,97
0000166_00558_d_0000118,73
0000330_00201_d_0000801,132
0000327_03601_d_0000729,64
0000356_01765_d_0000638,101
0000155_00001_d_0000001,99
0000277_01801_d_0000548,104
0000330_01001_d_0000805,94
0000277_00001_d_0000539,102
0000242_02762_d_0000010,33
