image_id,object_count
0000291_05201_d_0000893,211
0000103_00180_d_0000026,1
0000001_05499_d_0000010,141
0000021_00800_d_0000003,7
0000103_00502_d_0000027,3
0000026_01500_d_0000027,10
0000026_02500_d_0000029,17
0000271_02601_d_0000386,81
0000069_00713_d_0000003,51
0000359_01961_d_0000707,18
0000289_06601_d_0000844,88
0000330_00001_d_0000800,84
0000330_03001_d_0000815,45
0000312_00001_d_0000414,112
0000291_02201_d_0000879,150
0000359_02353_d_0000708,33
0000291_01001_d_0000873,161
0000271_04801_d_0000396,50
0000291_00201_d_0000869,122
0000291_03601_d_0000886,115
0000256_02173_d_0000030,50
0000249_03400_d_0000010,96
0000291_02601_d_0000881,178
0000026_02000_d_0000028,9
0000022_00000_d_0000004,43
0000001_07999_d_0000012,137
0000346_00001_d_0000346,86
0000330_01601_d_0000808,101
0000249_00603_d_0000003,49
0000153_00401_d_0000001,68
0000271_06801_d_0000406,96
0000271_07001_d_0000407,58
0000023_00000_d_0000008,40
0000316_01001_d_0000524,23
0000360_00001_d_0000713,80
0000287_00601_d_0000762,94
0000277_02001_d_0000549,83
0000153_01801_d_0000001,60
0000194_00625_d_0000122,87
0000289_05401_d_0000838,83
0000277_01401_d_0000546,87
0000021_00000_d_0000001,31
0000271_05001_d_0000397,90
0000359_00981_d_0000704,47
0000356_01569_d_0000637,110
0000280_01801_d_0000621,96
0000216_00520_d_0000001,109
0000333_03333_d_0000018,62
0000277_04601_d_0000561,96
0000269_00201_d_0000349,54
0000348_00589_d_0000409,35
0000155_01871_d_0000001,61
0000356_03333_d_0000646,85
0000287_01801_d_0000768,58
0000215_03226_d_0000264,24
0000277_00401_d_0000541,123
0000253_00001_d_0000001,106
0000327_00201_d_0000712,61
0000295_01200_d_0000027,222
0000360_07057_d_0000749,16
0000276_05201_d_0000533,6
0000333_03725_d_0000020,83
0000242_05059_d_0000015,38
0000335_00001_d_0000043,41
0000360_07253_d_0000750,28
0000215_00000_d_0000256,171
0000193_01497_d_0000111,90
0000280_02201_d_0000623,88
0000335_05685_d_0000072,15
0000242_00001_d_0000001,53
0000277_02401_d_0000551,92
0000162_00401_d_0000001,48
0000280_03401_d_0000629,84
0000356_02353_d_0000641,111
0000103_02964_d_0000030,10
0000244_00500_d_0000002,46
0000237_00001_d_0000001,19
0000165_04325_d_0000105,31
0000271_05401_d_0000399,71
0000289_03401_d_0000828,60
0000194_00200_d_0000120,85
0000242_01912_d_0000008,54
0000069_00001_d_0000001,34
0000263_02401_d_0000179,17
0000287_00201_d_0000760,54
0000242_00500_d_0000002,56
0000360_00785_d_0000717,59
0000289_03001_d_0000826,62
0000291_01201_d_0000874,213
0000330_01801_d_0000809,64
0000289_02201_d_0000822,29
0000295_01800_d_0000030,319
0000277_04401_d_0000560,71
0000115_00315_d_0000080,65
0000289_04201_d_0000832,90
0000162_01058_d_0000001,60
0000291_03401_d_0000885,188
0000289_04401_d_0000833,103
0000360_05685_d_0000742,60
0000001_03999_d_0000007,50
0000327_01401_d_0000718,94
0000335_01765_d_0000052,61
0000295_00000_d_0000021,139
0000356_04117_d_0000650,97
0000276_03001_d_0000522,39
0000360_06861_d_0000748,25
0000242_00963_d_0000005,13
0000155_01201_d_0000001,102
0000291_01601_d_0000876,88
0000277_04001_d_0000558,78
